"","rxddrgid","rxddrug","rxdingfl","rxddci1a","rxddci1b","rxddci1c","rxddci2a","rxddci2b","rxddci2c","rxddci3a","rxddci3b","rxddci3c","rxddci4a","rxddci4b","rxddci4c","rxdici1a","rxdici1b","rxdici1c","rxdici2a","rxdici2b","rxdici2c","rxdici3a","rxdici3b","rxdici3c","rxdici4a","rxdici4b","rxdici4c","rxdici5a","rxdici5b","rxdici5c","rxdici6a","rxdici6b","rxdici6c","rxddcn1a","rxddcn1b","rxddcn1c","rxddcn2a","rxddcn2b","rxddcn2c","rxddcn3a","rxddcn3b","rxddcn3c","rxddcn4a","rxddcn4b","rxddcn4c","rxdicn1a","rxdicn1b","rxdicn1c","rxdicn2a","rxdicn2b","rxdicn2c","rxdicn3a","rxdicn3b","rxdicn3c","rxdicn4a","rxdicn4b","rxdicn4c","rxdicn5a","rxdicn5b","rxdicn5c","rxdicn6a","rxdicn6b","rxdicn6c"
"966","d04151","BENZOCAINE; TRIMETHOBENZAMIDE",2,57,65,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,65,197,133,136,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","ANTICHOLINERGIC ANTIEMETICS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","ANTICHOLINERGIC ANTIEMETICS","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANESTHETICS","","","","","","","","","","","",""
"967","d04152","HYDROCODONE; PHENYLEPHRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,57,58,60,122,124,NA,122,127,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS","","","","","","","","","","","CARDIOVASCULAR AGENTS","VASOPRESSORS","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESICS","RESPIRATORY AGENTS","ANTITUSSIVES","","RESPIRATORY AGENTS","DECONGESTANTS","","","","","","",""
"968","d04156","LETROZOLE",1,20,24,NA,97,423,NA,NA,NA,NA,NA,NA,NA,20,24,NA,97,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","AROMATASE INHIBITORS","","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","AROMATASE INHIBITORS","","","","","","","","","","","","",""
"969","d04159","SORBITOL",1,87,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","LAXATIVES","","","","","","","","","","","GASTROINTESTINAL AGENTS","LAXATIVES","","","","","","","","","","","","","","","",""
"970","d04160","SODIUM BIPHOSPHATE; SODIUM PHOSPHATE",2,87,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,95,NA,115,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","LAXATIVES","","","","","","","","","","","GASTROINTESTINAL AGENTS","LAXATIVES","","NUTRITIONAL PRODUCTS","MINERALS AND ELECTROLYTES","","","","","","","","","","","","",""
"971","d04186","PHENYLEPHRINE NASAL",1,133,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL ANTIHISTAMINES AND DECONGESTANTS","","","","","","","","","","TOPICAL AGENTS","NASAL PREPARATIONS","NASAL ANTIHISTAMINES AND DECONGESTANTS","","","","","","","","","","","","","","",""
"972","d04192","COLISTIN; HYDROCORTISONE; NEOMYCIN; THONZONIUM OTIC",2,133,148,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,290,133,148,170,133,148,172,133,148,370,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OTIC PREPARATIONS","OTIC STEROIDS WITH ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIBIOTICS","TOPICAL AGENTS","OTIC PREPARATIONS","OTIC ANTI-INFECTIVES","TOPICAL AGENTS","OTIC PREPARATIONS","MISCELLANEOUS OTIC AGENTS","TOPICAL AGENTS","OTIC PREPARATIONS","OTIC STEROIDS","","","","","",""
"973","d04196","BACITRACIN; HYDROCORTISONE; NEOMYCIN; POLYMYXIN B TOPICAL",2,133,136,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,133,136,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS WITH ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIBIOTICS","","","","","","","","","","","",""
"974","d04205","POVIDONE IODINE OPHTHALMIC",1,133,147,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTI-INFECTIVES","","","","","","","","","","","","","","",""
"975","d04210","ESTRADIOL TOPICAL",1,97,101,183,133,151,269,NA,NA,NA,NA,NA,NA,97,101,183,133,151,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","TOPICAL AGENTS","VAGINAL PREPARATIONS","MISCELLANEOUS VAGINAL AGENTS","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","TOPICAL AGENTS","VAGINAL PREPARATIONS","MISCELLANEOUS VAGINAL AGENTS","","","","","","","","","","","",""
"976","d04213","PROGESTERONE TOPICAL",1,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS","","","","","","","","","","","","","","",""
"977","d04215","ROPINIROLE",1,57,66,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,66,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS","","","","","","","","","","","","","","",""
"978","d04219","LAMIVUDINE; ZIDOVUDINE",2,1,7,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","ANTIVIRAL COMBINATIONS","","","","","","","","","","ANTI-INFECTIVES","ANTIVIRAL AGENTS","NRTIS","","","","","","","","","","","","","","",""
"979","d04220","QUETIAPINE",1,242,251,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,251,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSYCHOTHERAPEUTIC AGENTS","ANTIPSYCHOTICS","ATYPICAL ANTIPSYCHOTICS","","","","","","","","","","PSYCHOTHERAPEUTIC AGENTS","ANTIPSYCHOTICS","ATYPICAL ANTIPSYCHOTICS","","","","","","","","","","","","","","",""
"980","d04221","TIAGABINE",1,57,64,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,64,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","GAMMA-AMINOBUTYRIC ACID REUPTAKE INHIBITORS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","GAMMA-AMINOBUTYRIC ACID REUPTAKE INHIBITORS","","","","","","","","","","","","","","",""
"981","d04222","IRBESARTAN",1,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","","","","","",""
"982","d04223","MOMETASONE NASAL",1,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","","","","","",""
"983","d04225","HYDROCODONE; IBUPROFEN",2,57,58,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,60,57,58,61,122,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESIC COMBINATIONS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESICS","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS","RESPIRATORY AGENTS","ANTITUSSIVES","","","","","","","","","",""
"984","d04233","TRIAMCINOLONE NASAL",1,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","","","","","",""
"985","d04235","IPRATROPIUM NASAL",1,133,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL ANTIHISTAMINES AND DECONGESTANTS","","","","","","","","","","TOPICAL AGENTS","NASAL PREPARATIONS","NASAL ANTIHISTAMINES AND DECONGESTANTS","","","","","","","","","","","","","","",""
"986","d04245","HYDROCHLOROTHIAZIDE; IRBESARTAN",2,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","","",""
"987","d04253","ZOLMITRIPTAN",1,57,58,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANTIMIGRAINE AGENTS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANTIMIGRAINE AGENTS","","","","","","","","","","","","","","",""
"988","d04256","CEFDINIR",1,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS","","","","","","","","","","ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS","","","","","","","","","","","","","","",""
"989","d04258","CLOPIDOGREL",1,81,83,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,83,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS","","","","","","","","","","COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS","","","","","","","","","","","","","","",""
"990","d04260","SIBUTRAMINE",1,57,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANOREXIANTS","","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANOREXIANTS","","","","","","","","","","","","","","","",""
"991","d04261","RALOXIFENE",1,20,24,NA,97,417,NA,NA,NA,NA,NA,NA,NA,20,24,NA,97,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SELECTIVE ESTROGEN RECEPTOR MODULATORS","","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SELECTIVE ESTROGEN RECEPTOR MODULATORS","","","","","","","","","","","","",""
"992","d04265","OFLOXACIN OTIC",1,133,148,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,148,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OTIC PREPARATIONS","OTIC ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","OTIC PREPARATIONS","OTIC ANTI-INFECTIVES","","","","","","","","","","","","","","",""
"993","d04266","EPROSARTAN",1,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","","","","","",""
"994","d04267","REPAGLINIDE",1,358,99,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,99,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","MEGLITINIDES","","","","","","","","","","METABOLIC AGENTS","ANTIDIABETIC AGENTS","MEGLITINIDES","","","","","","","","","","","","","","",""
"995","d04269","ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE",2,57,58,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,59,57,58,60,57,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESIC COMBINATIONS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NARCOTIC ANALGESICS","CENTRAL NERVOUS SYSTEM AGENTS","CNS STIMULANTS","","","","","","","","","",""
"996","d04270","FEXOFENADINE; PSEUDOEPHEDRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS","","","","","","","","","","","RESPIRATORY AGENTS","ANTIHISTAMINES","","RESPIRATORY AGENTS","DECONGESTANTS","","","","","","","","","","","","",""
"997","d04271","DICLOFENAC; MISOPROSTOL",2,57,58,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,61,87,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS","GASTROINTESTINAL AGENTS","MISCELLANEOUS GI AGENTS","","","","","","","","","","","","",""
"998","d04272","AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE",2,87,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,304,1,13,224,87,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","H. PYLORI ERADICATION AGENTS","","","","","","","","","","","ANTI-INFECTIVES","MACROLIDE DERIVATIVES","MACROLIDES","ANTI-INFECTIVES","PENICILLINS","AMINOPENICILLINS","GASTROINTESTINAL AGENTS","PROTON PUMP INHIBITORS","","","","","","","","","",""
"999","d04273","TESTOSTERONE TOPICAL",1,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","","","","","",""
"1000","d04275","BECLOMETHASONE NASAL",1,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","","","","","",""
"1001","d04276","BUDESONIDE",1,97,98,301,122,130,296,NA,NA,NA,NA,NA,NA,97,98,301,122,130,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED CORTICOSTEROIDS","","","","","","","HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED CORTICOSTEROIDS","","","","","","","","","","","",""
"1002","d04279","FLUNISOLIDE NASAL",1,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","","","","","",""
"1003","d04283","FLUTICASONE NASAL",1,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","NASAL PREPARATIONS","NASAL STEROIDS","","","","","","","","","","","","","","",""
"1004","d04284","FLUTICASONE TOPICAL",1,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL STEROIDS","","","","","","","","","","","","","","",""
"1005","d04285","NARATRIPTAN",1,57,58,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANTIMIGRAINE AGENTS","","","","","","","","","","CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","ANTIMIGRAINE AGENTS","","","","","","","","","","","","","","",""
"1006","d04286","FENOFIBRATE",1,358,19,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,19,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","FIBRIC ACID DERIVATIVES","","","","","","","","","","METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","FIBRIC ACID DERIVATIVES","","","","","","","","","","","","","","",""
"1007","d04287","CIPROFLOXACIN OTIC",1,133,148,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,148,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OTIC PREPARATIONS","OTIC ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","OTIC PREPARATIONS","OTIC ANTI-INFECTIVES","","","","","","","","","","","","","","",""
"1008","d04288","CIPROFLOXACIN; HYDROCORTISONE OTIC",2,133,148,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,148,170,133,148,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OTIC PREPARATIONS","OTIC STEROIDS WITH ANTI-INFECTIVES","","","","","","","","","","TOPICAL AGENTS","OTIC PREPARATIONS","OTIC ANTI-INFECTIVES","TOPICAL AGENTS","OTIC PREPARATIONS","OTIC STEROIDS","","","","","","","","","","","",""
"1009","d04289","MONTELUKAST",1,122,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","LEUKOTRIENE MODIFIERS","","","","","","","","","","","RESPIRATORY AGENTS","LEUKOTRIENE MODIFIERS","","","","","","","","","","","","","","","",""
"1010","d04292","LOTEPREDNOL OPHTHALMIC",1,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS","","","","","","","","","","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC STEROIDS","","","","","","","","","","","","","","",""
"1011","d04293","HYDROCHLOROTHIAZIDE; VALSARTAN",2,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","","",""
"1012","d04294","TOLTERODINE",1,113,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","URINARY ANTISPASMODICS","","","","","","","","","","","GENITOURINARY TRACT AGENTS","URINARY ANTISPASMODICS","","","","","","","","","","","","","","","",""
"1013","d04298","PHENYLEPHRINE TOPICAL",1,133,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","ANORECTAL PREPARATIONS","","","","","","","","","","","TOPICAL AGENTS","ANORECTAL PREPARATIONS","","","","","","","","","","","","","","","",""
"1014","d04299","SILDENAFIL",1,40,303,NA,113,263,NA,NA,NA,NA,NA,NA,NA,40,303,NA,113,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","AGENTS FOR PULMONARY HYPERTENSION","","GENITOURINARY TRACT AGENTS","IMPOTENCE AGENTS","","","","","","","","CARDIOVASCULAR AGENTS","AGENTS FOR PULMONARY HYPERTENSION","","GENITOURINARY TRACT AGENTS","IMPOTENCE AGENTS","","","","","","","","","","","","",""
"1015","d04300","RISEDRONATE",1,358,409,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,409,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","BONE RESORPTION INHIBITORS","BISPHOSPHONATES","","","","","","","","","","METABOLIC AGENTS","BONE RESORPTION INHIBITORS","BISPHOSPHONATES","","","","","","","","","","","","","","",""
"1016","d04301","BRINZOLAMIDE OPHTHALMIC",1,133,147,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC GLAUCOMA AGENTS","","","","","","","","","","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC GLAUCOMA AGENTS","","","","","","","","","","","","","","",""
"1017","d04303","DORZOLAMIDE; TIMOLOL OPHTHALMIC",2,133,147,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC GLAUCOMA AGENTS","","","","","","","","","","TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC GLAUCOMA AGENTS","","","","","","","","","","","","","","",""
"1018","d04311","CAPECITABINE",1,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTIMETABOLITES","","","","","","","","","","","ANTINEOPLASTICS","ANTIMETABOLITES","","","","","","","","","","","","","","","",""
"1019","d04321","INTERFERON ALFA-2B; RIBAVIRIN",2,1,7,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,229,20,324,NA,122,130,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","ANTIVIRAL COMBINATIONS","","","","","","","","","","ANTI-INFECTIVES","ANTIVIRAL AGENTS","PURINE NUCLEOSIDES","ANTINEOPLASTICS","ANTINEOPLASTIC INTERFERONS","","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED ANTI-INFECTIVES","","","","","","","","",""
"1020","d04322","CANDESARTAN",1,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANGIOTENSIN II INHIBITORS","","","","","","","","","","","","","","","",""
